query_name,model_name,experiment_id,overlap_mAP
table-9,LearningBased,AlignRank-0.65,0.2262301587301587
table-9,LearningBased,AlignRank-0.75,0.0
table-9,LearningBased,AlignRank-0.85,0.0
table-9,LearningBased,AlignRank-0.95,0.0
lighting-10,LearningBased,AlignRank-0.05,0.6646329365079365
lighting-10,LearningBased,AlignRank-0.15,0.4990575396825396
lighting-10,LearningBased,AlignRank-0.25,0.4445238095238096
lighting-10,LearningBased,AlignRank-0.35,0.2838591269841269
lighting-10,LearningBased,AlignRank-0.45,0.1298511904761904
lighting-10,LearningBased,AlignRank-0.55,0.0732242063492063
lighting-10,LearningBased,AlignRank-0.65,0.0
lighting-10,LearningBased,AlignRank-0.75,0.0
lighting-10,LearningBased,AlignRank-0.85,0.0
lighting-10,LearningBased,AlignRank-0.95,0.0
shelving-11,LearningBased,AlignRank-0.05,0.7499007936507938
shelving-11,LearningBased,AlignRank-0.15,0.7393452380952381
shelving-11,LearningBased,AlignRank-0.25,0.6663095238095239
shelving-11,LearningBased,AlignRank-0.35,0.285734126984127
shelving-11,LearningBased,AlignRank-0.45,0.0
shelving-11,LearningBased,AlignRank-0.55,0.0
shelving-11,LearningBased,AlignRank-0.65,0.0
shelving-11,LearningBased,AlignRank-0.75,0.0
shelving-11,LearningBased,AlignRank-0.85,0.0
shelving-11,LearningBased,AlignRank-0.95,0.0
curtain-12,LearningBased,AlignRank-0.05,0.4285515873015873
curtain-12,LearningBased,AlignRank-0.15,0.4285515873015873
curtain-12,LearningBased,AlignRank-0.25,0.2821031746031746
curtain-12,LearningBased,AlignRank-0.35,0.2821031746031746
curtain-12,LearningBased,AlignRank-0.45,0.2821031746031746
curtain-12,LearningBased,AlignRank-0.55,0.0964484126984127
curtain-12,LearningBased,AlignRank-0.65,0.0
curtain-12,LearningBased,AlignRank-0.75,0.0
curtain-12,LearningBased,AlignRank-0.85,0.0
curtain-12,LearningBased,AlignRank-0.95,0.0
chair-13,LearningBased,AlignRank-0.05,1.0
chair-13,LearningBased,AlignRank-0.15,1.0
chair-13,LearningBased,AlignRank-0.25,0.9887962962962964
chair-13,LearningBased,AlignRank-0.35,0.9413095238095238
chair-13,LearningBased,AlignRank-0.45,0.7609656084656085
chair-13,LearningBased,AlignRank-0.55,0.5346560846560846
chair-13,LearningBased,AlignRank-0.65,0.1278968253968254
chair-13,LearningBased,AlignRank-0.75,0.0
chair-13,LearningBased,AlignRank-0.85,0.0
chair-13,LearningBased,AlignRank-0.95,0.0
chair-14,LearningBased,AlignRank-0.05,0.5161805555555555
chair-14,LearningBased,AlignRank-0.15,0.3579365079365079
chair-14,LearningBased,AlignRank-0.25,0.3227678571428571
chair-14,LearningBased,AlignRank-0.35,0.3143650793650793
chair-14,LearningBased,AlignRank-0.45,0.25
chair-14,LearningBased,AlignRank-0.55,0.2201785714285714
chair-14,LearningBased,AlignRank-0.65,0.1965376984126984
chair-14,LearningBased,AlignRank-0.75,0.0
chair-14,LearningBased,AlignRank-0.85,0.0
chair-14,LearningBased,AlignRank-0.95,0.0
chair-15,LearningBased,AlignRank-0.05,0.5
chair-15,LearningBased,AlignRank-0.15,0.5
chair-15,LearningBased,AlignRank-0.25,0.5
chair-15,LearningBased,AlignRank-0.35,0.4243849206349207
chair-15,LearningBased,AlignRank-0.45,0.3436011904761905
chair-15,LearningBased,AlignRank-0.55,0.25
chair-15,LearningBased,AlignRank-0.65,0.1327579365079365
chair-15,LearningBased,AlignRank-0.75,0.0756150793650793
chair-15,LearningBased,AlignRank-0.85,0.0
chair-15,LearningBased,AlignRank-0.95,0.0
chair-16,LearningBased,AlignRank-0.05,0.557420634920635
chair-16,LearningBased,AlignRank-0.15,0.5312857142857143
chair-16,LearningBased,AlignRank-0.25,0.4070555555555556
chair-16,LearningBased,AlignRank-0.35,0.278436507936508
chair-16,LearningBased,AlignRank-0.45,0.1870555555555555
chair-16,LearningBased,AlignRank-0.55,0.1188968253968254
chair-16,LearningBased,AlignRank-0.65,0.0774047619047619
chair-16,LearningBased,AlignRank-0.75,0.0
chair-16,LearningBased,AlignRank-0.85,0.0
chair-16,LearningBased,AlignRank-0.95,0.0
table-17,LearningBased,AlignRank-0.05,0.6601984126984126
table-17,LearningBased,AlignRank-0.15,0.6236772486772486
table-17,LearningBased,AlignRank-0.25,0.433558201058201
table-17,LearningBased,AlignRank-0.35,0.3183465608465608
table-17,LearningBased,AlignRank-0.45,0.1150396825396825
table-17,LearningBased,AlignRank-0.55,0.0
table-17,LearningBased,AlignRank-0.65,0.0
table-17,LearningBased,AlignRank-0.75,0.0
table-17,LearningBased,AlignRank-0.85,0.0
table-17,LearningBased,AlignRank-0.95,0.0
table-18,LearningBased,AlignRank-0.05,0.1576785714285714
table-18,LearningBased,AlignRank-0.15,0.1253968253968254
table-18,LearningBased,AlignRank-0.25,0.1203968253968254
table-18,LearningBased,AlignRank-0.35,0.0964484126984127
table-18,LearningBased,AlignRank-0.45,0.0
table-18,LearningBased,AlignRank-0.55,0.0
table-18,LearningBased,AlignRank-0.65,0.0
table-18,LearningBased,AlignRank-0.75,0.0
table-18,LearningBased,AlignRank-0.85,0.0
table-18,LearningBased,AlignRank-0.95,0.0
table-19,LearningBased,AlignRank-0.05,0.5129563492063492
table-19,LearningBased,AlignRank-0.15,0.3105059523809524
table-19,LearningBased,AlignRank-0.25,0.2017757936507936
table-19,LearningBased,AlignRank-0.35,0.2017757936507936
table-19,LearningBased,AlignRank-0.45,0.2017757936507936
table-19,LearningBased,AlignRank-0.55,0.0730753968253968
table-19,LearningBased,AlignRank-0.65,0.016140873015873
table-19,LearningBased,AlignRank-0.75,0.0
table-19,LearningBased,AlignRank-0.85,0.0
table-19,LearningBased,AlignRank-0.95,0.0
table-20,LearningBased,AlignRank-0.05,0.6102857142857143
table-20,LearningBased,AlignRank-0.15,0.5531269841269841
table-20,LearningBased,AlignRank-0.25,0.321515873015873
table-20,LearningBased,AlignRank-0.35,0.1937777777777777
table-20,LearningBased,AlignRank-0.45,0.1937777777777777
table-20,LearningBased,AlignRank-0.55,0.0622142857142857
table-20,LearningBased,AlignRank-0.65,0.0169126984126984
table-20,LearningBased,AlignRank-0.75,0.0
table-20,LearningBased,AlignRank-0.85,0.0
table-20,LearningBased,AlignRank-0.95,0.0
chest_of_drawers-21,LearningBased,AlignRank-0.05,0.8004100529100528
chest_of_drawers-21,LearningBased,AlignRank-0.15,0.6186243386243386
chest_of_drawers-21,LearningBased,AlignRank-0.25,0.5543253968253967
chest_of_drawers-21,LearningBased,AlignRank-0.35,0.4108730158730158
chest_of_drawers-21,LearningBased,AlignRank-0.45,0.3401455026455026
chest_of_drawers-21,LearningBased,AlignRank-0.55,0.1566931216931217
chest_of_drawers-21,LearningBased,AlignRank-0.65,0.0248544973544973
chest_of_drawers-21,LearningBased,AlignRank-0.75,0.0
chest_of_drawers-21,LearningBased,AlignRank-0.85,0.0
chest_of_drawers-21,LearningBased,AlignRank-0.95,0.0
chest_of_drawers-22,LearningBased,AlignRank-0.05,0.3929960317460317
chest_of_drawers-22,LearningBased,AlignRank-0.15,0.3929960317460317
chest_of_drawers-22,LearningBased,AlignRank-0.25,0.3929960317460317
chest_of_drawers-22,LearningBased,AlignRank-0.35,0.3929960317460317
chest_of_drawers-22,LearningBased,AlignRank-0.45,0.246547619047619
chest_of_drawers-22,LearningBased,AlignRank-0.55,0.246547619047619
chest_of_drawers-22,LearningBased,AlignRank-0.65,0.0714484126984127
chest_of_drawers-22,LearningBased,AlignRank-0.75,0.0
chest_of_drawers-22,LearningBased,AlignRank-0.85,0.0
chest_of_drawers-22,LearningBased,AlignRank-0.95,0.0
chest_of_drawers-23,LearningBased,AlignRank-0.05,0.1625238095238095
chest_of_drawers-23,LearningBased,AlignRank-0.15,0.1625238095238095
chest_of_drawers-23,LearningBased,AlignRank-0.25,0.1012063492063492
chest_of_drawers-23,LearningBased,AlignRank-0.35,0.0671587301587301
chest_of_drawers-23,LearningBased,AlignRank-0.45,0.038579365079365
chest_of_drawers-23,LearningBased,AlignRank-0.55,0.038579365079365
chest_of_drawers-23,LearningBased,AlignRank-0.65,0.0
chest_of_drawers-23,LearningBased,AlignRank-0.75,0.0
chest_of_drawers-23,LearningBased,AlignRank-0.85,0.0
chest_of_drawers-23,LearningBased,AlignRank-0.95,0.0
chest_of_drawers-24,LearningBased,AlignRank-0.05,0.3473511904761905
chest_of_drawers-24,LearningBased,AlignRank-0.15,0.271626984126984
chest_of_drawers-24,LearningBased,AlignRank-0.25,0.1938591269841269
chest_of_drawers-24,LearningBased,AlignRank-0.35,0.1224107142857142
chest_of_drawers-24,LearningBased,AlignRank-0.45,0.0928670634920635
chest_of_drawers-24,LearningBased,AlignRank-0.55,0.0
chest_of_drawers-24,LearningBased,AlignRank-0.65,0.0
chest_of_drawers-24,LearningBased,AlignRank-0.75,0.0
chest_of_drawers-24,LearningBased,AlignRank-0.85,0.0
chest_of_drawers-24,LearningBased,AlignRank-0.95,0.0
chest_of_drawers-25,LearningBased,AlignRank-0.05,0.3432619047619047
chest_of_drawers-25,LearningBased,AlignRank-0.15,0.3046825396825396
chest_of_drawers-25,LearningBased,AlignRank-0.25,0.2761031746031746
chest_of_drawers-25,LearningBased,AlignRank-0.35,0.2175238095238095
chest_of_drawers-25,LearningBased,AlignRank-0.45,0.2088015873015873
chest_of_drawers-25,LearningBased,AlignRank-0.55,0.1907777777777778
chest_of_drawers-25,LearningBased,AlignRank-0.65,0.1257380952380952
chest_of_drawers-25,LearningBased,AlignRank-0.75,0.038579365079365
chest_of_drawers-25,LearningBased,AlignRank-0.85,0.0
chest_of_drawers-25,LearningBased,AlignRank-0.95,0.0
sofa-26,LearningBased,AlignRank-0.05,0.4236607142857142
sofa-26,LearningBased,AlignRank-0.15,0.3504365079365079
sofa-26,LearningBased,AlignRank-0.25,0.2498214285714285
sofa-26,LearningBased,AlignRank-0.35,0.1431349206349206
sofa-26,LearningBased,AlignRank-0.45,0.1150198412698412
sofa-26,LearningBased,AlignRank-0.55,0.0119742063492063
sofa-26,LearningBased,AlignRank-0.65,0.0
sofa-26,LearningBased,AlignRank-0.75,0.0
sofa-26,LearningBased,AlignRank-0.85,0.0
sofa-26,LearningBased,AlignRank-0.95,0.0
sofa-27,LearningBased,AlignRank-0.05,0.1052619047619047
sofa-27,LearningBased,AlignRank-0.15,0.0833492063492063
sofa-27,LearningBased,AlignRank-0.25,0.0813492063492063
sofa-27,LearningBased,AlignRank-0.35,0.0813492063492063
sofa-27,LearningBased,AlignRank-0.45,0.0793492063492063
sofa-27,LearningBased,AlignRank-0.55,0.0751269841269841
sofa-27,LearningBased,AlignRank-0.65,0.0169126984126984
sofa-27,LearningBased,AlignRank-0.75,0.0
sofa-27,LearningBased,AlignRank-0.85,0.0
sofa-27,LearningBased,AlignRank-0.95,0.0
sofa-28,LearningBased,AlignRank-0.05,0.5798412698412697
